weather,city,scenario_raw,time_slice,severity,weather_year,scenario,watts_person,met,bsa_m2,zone,zone_label,floor,position,position_name,rows,mean_p_tail,median_p_tail,p90_p_tail,p95_p_tail,high_tail_pct,mean_warm_tail,mean_cold_tail
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,EQ-Max,108.0,1.08,1.7182130584192439,perimeter_mid_zn_1,Middle P1,middle,P1,P1 south,16704,0.2862805090515514,0.2928843656840942,0.5244167118827999,0.6151202749140893,55.196360153256705,0.2686535586089351,0.017626950442616352
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,EQ-Max,108.0,1.08,1.7182130584192439,perimeter_mid_zn_2,Middle P2,middle,P2,P2 east,16704,0.16105181893386472,0.11452881204574211,0.37082353508676724,0.38576185191057555,20.839319923371647,0.13676253138441172,0.02428928754945304
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,EQ-Max,108.0,1.08,1.7182130584192439,perimeter_mid_zn_3,Middle P3,middle,P3,P3 north,16704,0.18583630171360047,0.1241420978127083,0.3811704346575244,0.4288119440914867,30.39990421455939,0.16187380234917403,0.02396249936442646
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,EQ-Max,108.0,1.08,1.7182130584192439,perimeter_mid_zn_4,Middle P4,middle,P4,P4 west,16704,0.15068196076906648,0.09195988721020815,0.36701315597328976,0.3750436483674538,17.636494252873565,0.1257795138095703,0.024902446959496182
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,EQ-Max,108.0,1.08,1.7182130584192439,core_top,Core top,top,core,Core,16704,0.14958192136061627,0.09089524975944081,0.36701315597328976,0.3750436483674537,18.767959770114942,0.12270845996895384,0.02687346139166245
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,EQ-Max,108.0,1.08,1.7182130584192439,perimeter_top_zn_1,Top P1,top,P1,P1 south,16704,0.2557819370611502,0.18724130715485082,0.5213801767846729,0.612059366771899,47.294061302681996,0.23617471741057977,0.019607219650570436
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,EQ-Max,108.0,1.08,1.7182130584192439,perimeter_top_zn_2,Top P2,top,P2,P2 east,16704,0.159687762368737,0.11452881204574211,0.3673177622014825,0.38576185191057555,20.031130268199234,0.13539049438402326,0.02429726798471375
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,EQ-Max,108.0,1.08,1.7182130584192439,perimeter_top_zn_3,Top P3,top,P3,P3 north,16704,0.16958449093097439,0.09819904404233534,0.3708235350867673,0.4205029838022166,24.862308429118773,0.14434085085636741,0.02524364007460696
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,EQ-Max,108.0,1.08,1.7182130584192439,perimeter_top_zn_4,Top P4,top,P4,P4 west,16704,0.14581786301239272,0.09195988721020815,0.31016322667599555,0.374357826124815,15.864463601532567,0.12030449205502107,0.02551337095737164
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Hi,110.0,1.1,1.7182130584192439,core_bottom,Core bottom,bottom,core,Core,16704,0.10553994919525969,0.07490846116063293,0.1988496851584761,0.25947652535280186,9.183429118773946,0.07625447609633382,0.029285473098925895
