case_id,city,scenario,time_slice,severity,weather_year,outdoor_temp_bin,occupied_steps,mean_outdoor_temp_c,mean_zone_operative_temp_c,mean_zone_rh_pct,mean_zone_cooling_rate_w,mean_p_tail,high_tail_pct
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,Ahmedabad,ssp585,mid_2050s,heatwave_extreme,2051,25--30,4862,27.900010798025505,25.954450208994178,51.38858477817604,109765.53599512232,0.11877902549608237,11.003702180172768
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,Ahmedabad,ssp585,mid_2050s,heatwave_extreme,2051,30--35,5302,32.26615192380234,26.463077168490376,52.16722693723177,115705.33033119359,0.148697034062802,22.387778196906826
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,Ahmedabad,ssp585,mid_2050s,heatwave_extreme,2051,>=35,3081,37.99448717948718,26.98579646124746,53.27394578576503,116683.56181012785,0.18968799384044333,39.59753326841934
ahmedabad_ssp585_mid_2050s_hot_2050,Ahmedabad,ssp585,mid_2050s,hot,2050,<20,1311,16.90500953470633,24.81819971770008,41.67923150540681,78876.92470206376,0.0736994789326277,0.0
ahmedabad_ssp585_mid_2050s_hot_2050,Ahmedabad,ssp585,mid_2050s,hot,2050,20--25,2172,22.996068139963167,25.297851288184027,47.424542437404604,99797.88248459432,0.08426380123077802,0.1841620626151013
ahmedabad_ssp585_mid_2050s_hot_2050,Ahmedabad,ssp585,mid_2050s,hot,2050,25--30,4662,27.769923852423855,25.796713322764905,50.85416763155316,108151.2224658984,0.10921531711213532,6.7996567996568
ahmedabad_ssp585_mid_2050s_hot_2050,Ahmedabad,ssp585,mid_2050s,hot,2050,30--35,5505,32.3385608537693,26.382284109587474,52.073274735683135,115539.50267131696,0.14538792014624183,21.217075386012716
ahmedabad_ssp585_mid_2050s_hot_2050,Ahmedabad,ssp585,mid_2050s,hot,2050,>=35,3054,38.144705304518666,27.078885179334414,53.791179521204725,115070.03132850408,0.2028742334176771,45.18664047151277
ahmedabad_ssp585_mid_2050s_typical_2055,Ahmedabad,ssp585,mid_2050s,typical,2055,<20,1420,16.34495422535211,24.81239777765841,39.772737802174575,79629.37676254845,0.0779460746280744,0.0
ahmedabad_ssp585_mid_2050s_typical_2055,Ahmedabad,ssp585,mid_2050s,typical,2055,20--25,2359,22.965675074183974,25.299870958457184,46.82404228445613,97946.79137150056,0.08666050989383202,0.2967359050445104
ahmedabad_ssp585_mid_2050s_typical_2055,Ahmedabad,ssp585,mid_2050s,typical,2055,25--30,5318,27.665835370440018,25.552703289627726,50.01672076812636,107058.23526669001,0.09500797253285187,3.0274539300488903
ahmedabad_ssp585_mid_2050s_typical_2055,Ahmedabad,ssp585,mid_2050s,typical,2055,30--35,4895,32.30948161389172,25.91202379533538,50.97711790688394,113043.8659014148,0.11148396557243904,8.498467824310522
ahmedabad_ssp585_mid_2050s_typical_2055,Ahmedabad,ssp585,mid_2050s,typical,2055,>=35,2712,37.75702710176991,26.57956931739705,53.106186354621954,115999.88692738749,0.15601382566839267,25.110619469026545
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,Ahmedabad,ssp585,near_2030s,heatwave_extreme,2037,<20,1616,16.306084467821783,24.779983065548706,40.044908627242435,77942.37543824498,0.07645421860338666,0.0
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,Ahmedabad,ssp585,near_2030s,heatwave_extreme,2037,20--25,2137,23.038882779597564,25.28224426468993,44.62450985076829,97884.3813421657,0.09139381566096108,0.5147402901263454
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,Ahmedabad,ssp585,near_2030s,heatwave_extreme,2037,25--30,4801,27.849273068110808,25.85275433273216,51.299952360849446,110880.24548084136,0.11129279539616545,8.144136638200376
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,Ahmedabad,ssp585,near_2030s,heatwave_extreme,2037,30--35,5081,32.23473479629994,26.161347336907127,52.507090963467384,111696.19307231267,0.12206404642066321,12.438496358984452
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,Ahmedabad,ssp585,near_2030s,heatwave_extreme,2037,>=35,3069,37.81900374714891,26.67802670175799,52.81554897842188,115320.71915976901,0.16565384751468398,28.83675464320626
ahmedabad_ssp585_near_2030s_hot_2037,Ahmedabad,ssp585,near_2030s,hot,2037,<20,1616,16.306084467821783,24.779983065548706,40.044908627242435,77942.37543824498,0.07645421860338666,0.0
ahmedabad_ssp585_near_2030s_hot_2037,Ahmedabad,ssp585,near_2030s,hot,2037,20--25,2137,23.038882779597564,25.28224426468993,44.62450985076829,97884.3813421657,0.09139381566096108,0.5147402901263454
ahmedabad_ssp585_near_2030s_hot_2037,Ahmedabad,ssp585,near_2030s,hot,2037,25--30,4801,27.849273068110808,25.85275433273216,51.299952360849446,110880.24548084136,0.11129279539616545,8.144136638200376
ahmedabad_ssp585_near_2030s_hot_2037,Ahmedabad,ssp585,near_2030s,hot,2037,30--35,5081,32.23473479629994,26.161347336907127,52.507090963467384,111696.19307231267,0.12206404642066321,12.438496358984452
ahmedabad_ssp585_near_2030s_hot_2037,Ahmedabad,ssp585,near_2030s,hot,2037,>=35,3069,37.81900374714891,26.67802670175799,52.81554897842188,115320.71915976901,0.16565384751468398,28.83675464320626
ahmedabad_ssp585_near_2030s_typical_2031,Ahmedabad,ssp585,near_2030s,typical,2031,<20,2086,15.884590124640463,24.65164931477811,38.259075566803524,74601.37616758689,0.07750766811264811,0.0
ahmedabad_ssp585_near_2030s_typical_2031,Ahmedabad,ssp585,near_2030s,typical,2031,20--25,2501,22.694635145941625,25.12936482441396,43.539710345168665,94890.12390358742,0.08346422690333155,0.0
ahmedabad_ssp585_near_2030s_typical_2031,Ahmedabad,ssp585,near_2030s,typical,2031,25--30,4771,27.786139174177325,25.77281591157351,50.221229385143076,107409.21802577096,0.11101880766233249,9.096625445399287
