weather,city,scenario_raw,time_slice,severity,weather_year,rows,mean_agg_p_tail_spread_mean,mean_agg_p_tail_spread_p95,max_zone_p_tail_spread_mean,max_zone_p_tail_spread_p95,mean_agg_threshold_flip_rows,mean_agg_threshold_flip_pct,max_zone_threshold_flip_rows,max_zone_threshold_flip_pct,sreal_mean_hidden_rows,sreal_mean_hidden_pct,sreal_zone_hidden_rows,sreal_zone_hidden_pct,direction_flip_rows,direction_flip_pct,sreal_mean_high_tail_pct,sreal_any_zone_high_tail_pct
ahmedabad_ssp585_mid_2050s_typical_2055,Ahmedabad,ssp585,mid_2050s,typical,2055,16704,0.06708517670631409,0.17443054914474485,0.16172172129154205,0.36520475149154663,3181,19.043342911877396,6934,41.5110153256705,3178,19.025383141762454,6422,38.44588122605364,4231,25.329262452107283,0.4489942528735632,15.235871647509578
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,Ahmedabad,ssp585,near_2030s,heatwave_extreme,2037,16704,0.07521509379148483,0.19965009838342657,0.17295998334884644,0.3686026632785797,3773,22.58740421455939,7636,45.71360153256705,3746,22.425766283524904,7030,42.08572796934866,3742,22.401819923371647,2.1252394636015324,18.049568965517242
ahmedabad_ssp585_near_2030s_hot_2037,Ahmedabad,ssp585,near_2030s,hot,2037,16704,0.07521509379148483,0.19965009838342657,0.17295998334884644,0.3686026632785797,3773,22.58740421455939,7636,45.71360153256705,3746,22.425766283524904,7030,42.08572796934866,3742,22.401819923371647,2.1252394636015324,18.049568965517242
ahmedabad_ssp585_near_2030s_typical_2031,Ahmedabad,ssp585,near_2030s,typical,2031,16704,0.07803439348936081,0.21379780322313308,0.16317696869373322,0.35327667444944366,3883,23.245929118773947,7085,42.41499042145594,3863,23.126197318007662,6666,39.9066091954023,3538,21.180555555555554,1.903735632183908,16.08596743295019
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,Beijing,ssp245,baseline_2020s,heatwave_extreme,2025,16704,0.056251175701618195,0.12082179896533489,0.08180683851242065,0.22249992191791534,1027,6.148227969348659,5366,32.12404214559387,1025,6.13625478927203,4928,29.50191570881226,2043,12.230603448275861,0.14966475095785442,9.608477011494253
beijing_ssp245_baseline_2020s_hot_2025,Beijing,ssp245,baseline_2020s,hot,2025,16704,0.056251175701618195,0.12082179896533489,0.08180683851242065,0.22249992191791534,1027,6.148227969348659,5366,32.12404214559387,1025,6.13625478927203,4928,29.50191570881226,2043,12.230603448275861,0.14966475095785442,9.608477011494253
beijing_ssp245_baseline_2020s_typical_2026,Beijing,ssp245,baseline_2020s,typical,2026,16704,0.04985077306628227,0.07590582519769669,0.06753174960613251,0.13992923498153687,398,2.382662835249042,4739,28.370450191570885,398,2.382662835249042,4152,24.856321839080458,2544,15.229885057471265,0.0,9.716235632183908
beijing_ssp245_late_2080s_heatwave_extreme_2084,Beijing,ssp245,late_2080s,heatwave_extreme,2084,16704,0.06477496773004532,0.20289788916707036,0.09416773915290833,0.24581512808799744,1406,8.417145593869732,5340,31.968390804597703,1396,8.35727969348659,4951,29.639607279693486,1964,11.757662835249043,4.525862068965517,15.271791187739463
beijing_ssp245_late_2080s_hot_2084,Beijing,ssp245,late_2080s,hot,2084,16704,0.06477496773004532,0.20289788916707036,0.09416773915290833,0.24581512808799744,1406,8.417145593869732,5340,31.968390804597703,1396,8.35727969348659,4951,29.639607279693486,1964,11.757662835249043,4.525862068965517,15.271791187739463
beijing_ssp245_late_2080s_typical_2083,Beijing,ssp245,late_2080s,typical,2083,16704,0.06786154955625534,0.20836097449064248,0.09754277765750885,0.25040326118469236,2010,12.033045977011495,5607,33.56681034482759,1996,11.949233716475096,5185,31.040469348659006,1755,10.506465517241379,2.3227969348659006,14.774904214559387
beijing_ssp245_mid_2050s_heatwave_extreme_2050,Beijing,ssp245,mid_2050s,heatwave_extreme,2050,16704,0.06303562223911285,0.1834368333220479,0.09278963506221771,0.24124862253665924,1444,8.64463601532567,5351,32.03424329501915,1437,8.602729885057471,4957,29.67552681992337,1876,11.230842911877396,2.6999521072796933,12.02705938697318
