weather,city,scenario,time_slice,severity,weather_year,max_abs_zone_p_tail_error,mean_abs_zone_p_tail_error,max_abs_zone_expected_tsv_error,mean_abs_zone_expected_tsv_error,max_abs_equal_p_tail_error,max_abs_equal_expected_tsv_error,max_abs_mean_pmv_error,mean_abs_mean_pmv_error
guangzhou_ssp585_baseline_2020s_hot_2028,Guangzhou,ssp585,baseline_2020s,hot,2028,0.2970931435876806,0.0061104366396343875,0.8432959407895254,0.023766587772920778,0.18094281208985402,0.5530564319894148,0.37333333333333374,0.021860592273307788
guangzhou_ssp585_baseline_2020s_typical_2025,Guangzhou,ssp585,baseline_2020s,typical,2025,0.3146556692101108,0.00587034575153138,0.788773131842359,0.023390493959117468,0.22131375100496106,0.6484559330467572,0.41066666666666685,0.02143095466155811
guangzhou_ssp585_late_2080s_heatwave_extreme_2086,Guangzhou,ssp585,late_2080s,heatwave_extreme,2086,0.3848112580028269,0.013133364642597315,0.8563574205517599,0.03788533002554414,0.19716181030474184,0.6223651483621762,0.4339999999999996,0.030395234674329502
guangzhou_ssp585_late_2080s_hot_2086,Guangzhou,ssp585,late_2080s,hot,2086,0.3848112580028269,0.013133364642597315,0.8563574205517599,0.03788533002554414,0.19716181030474184,0.6223651483621762,0.4339999999999996,0.030395234674329502
guangzhou_ssp585_late_2080s_typical_2087,Guangzhou,ssp585,late_2080s,typical,2087,0.3425162929522874,0.010003246982044078,0.903648056614788,0.03230866818064456,0.22509126649120514,0.5946066133986236,0.4606666666666672,0.027598978288633464
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,Guangzhou,ssp585,mid_2050s,heatwave_extreme,2059,0.3145180497431186,0.00801318927100239,0.7546403245768645,0.027907838239946695,0.19677225442680935,0.623852798682462,0.4086666666666666,0.024370370370370372
guangzhou_ssp585_mid_2050s_hot_2057,Guangzhou,ssp585,mid_2050s,hot,2057,0.33870591383881,0.007557016693419878,0.8685382456618141,0.027033062973319533,0.18491543153604012,0.5442166317516972,0.42333333333333334,0.024419899425287356
guangzhou_ssp585_mid_2050s_typical_2050,Guangzhou,ssp585,mid_2050s,typical,2050,0.2663484201545932,0.007266186089834034,0.778044220122548,0.0263130095014926,0.18553054502306326,0.637643920727963,0.4053333333333332,0.023501556513409964
guangzhou_ssp585_near_2030s_heatwave_extreme_2033,Guangzhou,ssp585,near_2030s,heatwave_extreme,2033,0.33846073567601165,0.006781229436646162,0.8482408947000506,0.025373343763472733,0.151046873972027,0.47955165048855375,0.32266666666666644,0.022653935185185183
guangzhou_ssp585_near_2030s_hot_2033,Guangzhou,ssp585,near_2030s,hot,2033,0.33846073567601165,0.006781229436646162,0.8482408947000506,0.025373343763472733,0.151046873972027,0.47955165048855375,0.32266666666666644,0.022653935185185183
