group_scope,model,event,city,n_steps,n_cases,equal_zone_mean_mean,area_weighted_mean_mean,zone_p90_mean,any_zone_mean,cold_equal_mean,warm_equal_mean,cold_area_mean,warm_area_mean,expected_tsv_equal_mean,expected_tsv_area_mean,time_slice,scenario,severity
city_scenario_time_slice,nominal,outermost,Guangzhou,50112,3,0.026426652826656315,0.025272490118116275,0.039342145101478904,0.04831189893074143,0.0027221723904986028,0.02370448043615771,0.002720267011856528,0.022552223106259744,0.1648328923229446,0.1578741451402077,near_2030s,ssp585,
city_scenario_time_slice,nominal,outermost,Houston,50112,3,0.02598425845335922,0.024271209990427742,0.04000953911485466,0.04849794115553163,0.0027650176332314437,0.02321924082012777,0.002760007049816127,0.021511202940611616,0.14943144960256574,0.14054393113441033,baseline_2020s,ssp245,
city_scenario_time_slice,nominal,outermost,Houston,50112,3,0.03052178476563374,0.028784992412001782,0.04580100449148095,0.055058725568759445,0.0026990271997005652,0.02782275756593318,0.002711288466853631,0.026073703945148154,0.2053416677060614,0.19646050491197903,late_2080s,ssp245,
city_scenario_time_slice,nominal,outermost,Houston,50112,3,0.02825504063286281,0.026559356075733485,0.04213294164293986,0.05082822998501242,0.0027167035087754354,0.02553833712408737,0.0027290964285192998,0.02383025964721418,0.17469030444100214,0.16558765876874718,mid_2050s,ssp245,
city_scenario_time_slice,nominal,outermost,Houston,50112,3,0.028930145685246707,0.026963285095974374,0.04379387950862313,0.05278415213956799,0.0027348302593091494,0.026195315425937556,0.0027358317291195406,0.024227453366854838,0.1794579467895931,0.16868997176219047,near_2030s,ssp245,
city_scenario_time_slice,nominal,outermost,Houston,50112,3,0.027569481165215994,0.025855470930033098,0.04217666574956913,0.05095760489502151,0.0027437837290771637,0.02482569743613883,0.002733638821231385,0.023121832108801713,0.17821569119956923,0.17125724982884685,baseline_2020s,ssp585,
city_scenario_time_slice,nominal,outermost,Houston,50112,3,0.038937476993883696,0.037446870582095414,0.05627101956256464,0.06657449277680706,0.0026400973578699187,0.036297379636013774,0.0026729876337906575,0.03477388294830475,0.30179789826944464,0.29495053810520305,late_2080s,ssp585,
city_scenario_time_slice,nominal,outermost,Houston,50112,3,0.0309716024007767,0.029040426274786566,0.04686255182292335,0.056453990616203584,0.0027058695821517743,0.028265732818624927,0.0027109301202464732,0.026329496154540097,0.20969124947807122,0.2000999046208448,mid_2050s,ssp585,
city_scenario_time_slice,nominal,outermost,Houston,50112,3,0.027652539837804156,0.02577699498103869,0.04230441021941764,0.05123287956877294,0.002722135621790595,0.024930404216013564,0.0027177641861338745,0.023059230794904823,0.17051177459049427,0.16007648838174907,near_2030s,ssp585,
city_scenario_time_slice,nominal,outermost,Kolkata,50112,3,0.03286679350634852,0.031254315411597074,0.051214463880678775,0.06336037779040231,0.0026112455734196025,0.030255547932928915,0.002643426146038469,0.028610889265558614,0.23591114908197688,0.22279022924641273,baseline_2020s,ssp245,
city_scenario_time_slice,nominal,outermost,Kolkata,50112,3,0.041650881916629516,0.03995865068786627,0.0644254433772017,0.07872558471927281,0.00249379405732238,0.03915708785930713,0.00253749643751814,0.03742115425034813,0.3347794440330225,0.32245966308867174,late_2080s,ssp245,
city_scenario_time_slice,nominal,outermost,Kolkata,50112,3,0.0367601788400071,0.03501525750596517,0.05748921355679789,0.07012338451310547,0.002553134194805655,0.03420704464520145,0.002588713545103257,0.03242654396086191,0.281275022156129,0.26749583347628014,mid_2050s,ssp245,
city_scenario_time_slice,nominal,outermost,Kolkata,50112,3,0.03276345420318109,0.031367580768034496,0.05019492927644415,0.0625495077758037,0.0026172040261499573,0.030146250177031132,0.002649570396288255,0.028718010371746233,0.2387934104777273,0.22812614499276354,near_2030s,ssp245,
city_scenario_time_slice,nominal,outermost,Kolkata,50112,3,0.027557442903674834,0.026231087098776903,0.04220599792897186,0.05252808364016822,0.0026586769930624144,0.02489876591061242,0.0026838177615703947,0.02354726933720651,0.17729120070733909,0.1659755672136486,baseline_2020s,ssp585,
city_scenario_time_slice,nominal,outermost,Kolkata,50112,3,0.05243595918979383,0.05076690593111078,0.0820832922159271,0.10174064228721783,0.002353828486167642,0.05008213070362619,0.002408104745132794,0.048358801185978,0.4638358785246341,0.4523620814379844,late_2080s,ssp585,
