group_scope,event,threshold,aggregator,n_steps,stored_high_count,corrected_high_count,both_high_count,union_high_count,stored_only_count,corrected_only_count,disagreement_count,stored_high_pct,corrected_high_pct,corrected_minus_stored_pp,disagreement_pct,jaccard
global,broad_tail,0.31,equal_zone_mean,2405376,113038,109583,101800,120821,11238,7783,19021,4.699390032992763,4.555753445615155,-0.14363658737760748,0.7907703411025969,0.8425687587422717
global,broad_tail,0.31,zone_p90,2405376,376175,371142,347881,399436,28294,23261,51555,15.638927136547467,15.4296875,-0.209239636547467,2.1433239543422733,0.8709305120219509
global,broad_tail,0.32,any_zone,2405376,450779,446173,416855,480097,33924,29318,63242,18.740479658897403,18.548991924755214,-0.19148773414218817,2.6291939389101744,0.8682724532750673
global,broad_tail,0.32,area_weighted_mean,2405376,81993,78864,73185,87672,8808,5679,14487,3.4087394236909327,3.278655810983397,-0.13008361270753513,0.6022759019795658,0.8347591021078565
global,broad_tail,0.32,equal_zone_mean,2405376,94817,91562,84178,102201,10639,7384,18023,3.9418785254363558,3.8065566464452956,-0.13532187899106002,0.749279946253725,0.8236514319820746
global,broad_tail,0.32,zone_p90,2405376,338435,334335,311953,360817,26482,22382,48864,14.069941664005961,13.899490142081735,-0.17045152192422308,2.031449553001277,0.8645740084308666
global,broad_tail,0.33,any_zone,2405376,440441,435874,407301,469014,33140,28573,61713,18.310692382396766,18.120826016389955,-0.18986636600681142,2.565627993295019,0.8684197060215687
global,broad_tail,0.33,area_weighted_mean,2405376,67815,64982,59451,73346,8364,5531,13895,2.8193097461685825,2.701531901873137,-0.11777784429544487,0.5776643651553853,0.8105554495132659
global,broad_tail,0.33,equal_zone_mean,2405376,76596,73649,66634,83611,9962,7015,16977,3.1843670178799486,3.061849789804172,-0.12251722807577693,0.7057940213920817,0.7969525540897728
global,broad_tail,0.33,zone_p90,2405376,329269,325239,303277,351231,25992,21962,47954,13.68887857865049,13.521337204661558,-0.16754137398893146,1.9936176298424861,0.8634687712644954
global,broad_tail,0.34,any_zone,2405376,440402,435830,407253,468979,33149,28577,61726,18.309071014261388,18.11899678054491,-0.19007423371647508,2.566168449340145,0.8683821663656581
global,broad_tail,0.34,area_weighted_mean,2405376,53162,50693,45386,58469,7776,5307,13083,2.2101326362281823,2.107487561196254,-0.10264507503192848,0.5439066491060025,0.7762404008962014
global,broad_tail,0.34,equal_zone_mean,2405376,60273,57675,51567,66381,8706,6108,14814,2.5057620929118776,2.397754030970626,-0.1080080619412516,0.6158704501915708,0.7768337325439508
global,broad_tail,0.34,zone_p90,2405376,317546,313537,291734,339349,25812,21803,47615,13.20151194657301,13.034843616964666,-0.166668329608344,1.979524199127288,0.859687224656622
global,broad_tail,0.35,any_zone,2405376,440402,435829,407253,468978,33149,28576,61725,18.309071014261388,18.11895520700298,-0.19011580725840782,2.566126875798212,0.8683840180136382
global,broad_tail,0.35,area_weighted_mean,2405376,39563,37407,32809,44161,6754,4598,11352,1.644774039484887,1.5551414830779053,-0.08963255640698169,0.4719428480204342,0.7429406037000974
global,broad_tail,0.35,equal_zone_mean,2405376,46914,44541,39387,52068,7527,5154,12681,1.9503811462324394,1.8517271312260535,-0.0986540150063857,0.5271940852490421,0.7564530997925789
global,broad_tail,0.35,zone_p90,2405376,280878,277088,256119,301847,24759,20969,45728,11.677093310983397,11.519529587058324,-0.1575637239250745,1.9010749255002128,0.8485060312012377
global,broad_tail,0.36,any_zone,2405376,440398,435825,407245,468978,33153,28580,61733,18.308904720093658,18.11878891283525,-0.19011580725840782,2.5664594641336738,0.8683669596441624
global,broad_tail,0.36,area_weighted_mean,2405376,28737,26874,23238,32373,5499,3636,9135,1.194698874521073,1.1172473659003832,-0.07745150862068965,0.3797743055555555,0.7178204058938004
global,broad_tail,0.36,equal_zone_mean,2405376,36295,34170,30000,40465,6295,4170,10465,1.5089117044487015,1.4205679278416348,-0.08834377660706683,0.43506711632609624,0.7413814407512666
global,broad_tail,0.36,zone_p90,2405376,270437,266641,246441,290637,23996,20200,44196,11.243023959663686,11.085210794487017,-0.1578131651766709,1.837384259259259,0.8479340207888191
global,broad_tail,0.37,any_zone,2405376,389112,384913,351532,422493,37580,33381,70961,16.17676404853129,16.002196745955725,-0.17456730257556408,2.950100109088974,0.8320421876812161
global,broad_tail,0.37,area_weighted_mean,2405376,20780,19183,16468,23495,4312,2715,7027,0.8638982013622818,0.7975052548957003,-0.06639294646658152,0.29213727916134524,0.7009150883166632
