group_scope,model,event,threshold,city,n_steps,n_zone_steps,area_zone_time_mass,unweighted_zone_high_count,equal_zone_mean_high_count,area_weighted_mean_high_count,zone_p90_high_count,any_zone_high_count,hidden_any_zone_count,hidden_p90_count,equal_zone_mean_high_pct,area_weighted_mean_high_pct,zone_p90_high_pct,any_zone_high_pct,hidden_any_zone_pct,hidden_p90_pct,area_weighted_zone_time_high_pct,unweighted_zone_time_high_pct,time_slice,scenario,severity
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,6392.654144061145,118418,5451,4706,19272,26839,21388,13821,5.438817049808429,4.695482120051086,19.228927203065137,26.7790150063857,21.340197956577267,13.790110153256704,6.378366602870715,7.876889101745424,baseline_2020s,ssp585,typical
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,25489.49102101686,402697,25496,24785,41896,48821,23325,16400,25.439016602809705,24.729605683269476,41.802362707535124,48.711885376756065,23.27286877394636,16.363346104725416,25.43252217135303,26.786464985100046,late_2080s,ssp585,heatwave_extreme
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,25896.73082921366,406246,25770,25247,41403,48221,22451,15633,25.71240421455939,25.190573116219667,41.31046455938697,48.11322637292465,22.400822158365262,15.598060344827585,25.83885180117902,27.022536185610896,late_2080s,ssp585,hot
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,17589.780486091455,288872,17125,16202,35516,43372,26247,18391,17.086725734355046,16.165788633461048,35.43662196679438,43.27506385696041,26.188338122605366,18.349896232439335,17.55046743902803,19.21509152830992,late_2080s,ssp585,typical
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,15372.252477324228,257123,15063,14131,32529,40193,25130,17466,15.029334291187741,14.099417305236269,32.4562978927203,40.10316890166028,25.073834610472538,17.426963601532567,15.33789559119994,17.103222115793955,mid_2050s,ssp585,heatwave_extreme
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,14951.680540083777,249709,14590,13772,31754,39676,25086,17164,14.557391443167306,13.741219667943804,31.68303001277139,39.58732439335888,25.02993295019157,17.12563856960409,14.918263629553577,16.610060131971053,mid_2050s,ssp585,hot
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,8793.140109068501,155278,8265,7358,22209,29482,21217,13944,8.246527777777777,7.3415549169859515,22.15936302681992,29.41610791826309,21.169580140485316,13.912835249042146,8.773487497075052,10.328730310770542,mid_2050s,ssp585,typical
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,7549.000114407519,138342,6801,5872,21710,29808,23007,14909,6.785799808429119,5.858876117496807,21.66147828863346,29.74137931034483,22.95557950191571,14.875678480204343,7.5321281473574375,9.202187100893997,near_2030s,ssp585,heatwave_extreme
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,7609.65679550559,139693,6700,5744,22281,30963,24263,15581,6.685025542784164,5.731162196679438,22.231202107279692,30.893797892720304,24.20877234993614,15.546176564495532,7.592649261160591,9.292052469135804,near_2030s,ssp585,hot
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,6468.664059379509,117460,5530,4760,18389,25899,20369,12859,5.517640485312899,4.749361430395913,18.347900702426564,25.841115900383144,20.323475415070245,12.830260217113665,6.454206636513718,7.813165176670924,near_2030s,ssp585,typical
scenario_time_slice_severity,ordinal,broad_tail,0.24,,100224,1503360,7852.9010354884085,141556,6183,5429,19974,30149,23966,13791,6.169181034482758,5.416866219667944,19.92935823754789,30.08161717752235,23.912436143039592,13.760177203065135,7.835349851820331,9.415974882928905,baseline_2020s,ssp245,heatwave_extreme
scenario_time_slice_severity,ordinal,broad_tail,0.24,,100224,1503360,7383.120184095748,135110,5636,4817,19786,29810,24174,14150,5.623403575989783,4.806234035759898,19.741778416347383,29.7433748403576,24.119971264367816,14.118374840357598,7.366618957630655,8.987202000851426,baseline_2020s,ssp245,hot
scenario_time_slice_severity,ordinal,broad_tail,0.24,,100224,1503360,5722.9115710159585,106917,3948,3348,16720,25792,21844,12772,3.939176245210728,3.34051724137931,16.68263090676884,25.734355044699875,21.795178799489147,12.74345466155811,5.710120900199512,7.111869412515964,baseline_2020s,ssp245,typical
scenario_time_slice_severity,ordinal,broad_tail,0.24,,100224,1503360,15430.408952689477,260835,14319,13162,31117,40694,26375,16798,14.286997126436782,13.132583014048532,31.047453703703702,40.60304916985951,26.316052043422733,16.760456577266922,15.395922087214117,17.35013569604087,late_2080s,ssp245,heatwave_extreme
scenario_time_slice_severity,ordinal,broad_tail,0.24,,100224,1503360,13846.688119080161,238290,12539,11434,29575,40477,27938,17036,12.510975415070243,11.40844508301405,29.508900063856963,40.38653416347382,27.875558748403577,16.997924648786718,13.81574085955476,15.850494891443168,late_2080s,ssp245,hot
scenario_time_slice_severity,ordinal,broad_tail,0.24,,100224,1503360,11377.568468886171,193777,10119,9279,23732,33477,23358,13613,10.096384099616857,9.258261494252872,23.678959131545337,33.402179118773944,23.305795019157088,13.582575031928481,11.352139676011905,12.889593976160068,late_2080s,ssp245,typical
scenario_time_slice_severity,ordinal,broad_tail,0.24,,100224,1503360,12138.630543997719,206734,11048,10114,24651,34317,23269,13603,11.02330779054917,10.09139527458493,24.595905172413794,34.240301724137936,23.21699393358876,13.572597381864624,12.11150078224549,13.751463388676033,mid_2050s,ssp245,heatwave_extreme
scenario_time_slice_severity,ordinal,broad_tail,0.24,,100224,1503360,11234.260118542246,195878,10193,9079,24756,34454,24261,14563,10.1702187100894,9.058708492975734,24.70067049808429,34.37699553001277,24.206776819923373,14.530451787994892,11.209151618915875,13.029347594721157,mid_2050s,ssp245,hot
