weather,city,scenario_raw,time_slice,severity,weather_year,scenario,watts_person,met,bsa_m2,rows,mean_mu,mean_p_tail_mean_agg,p95_p_tail_mean_agg,high_tail_mean_agg_pct,mean_max_zone_p_tail,p95_max_zone_p_tail,any_zone_high_tail_pct,mean_p90_zone_p_tail,mean_zones_high_tail,warm_dominant_pct,cold_dominant_pct
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,LEGACY,120.0,1.2,1.7182130584192439,16704,0.36344730854034424,0.162858784198761,0.3391551718115806,25.059865900383144,0.27820611000061035,0.5213801860809326,63.2183908045977,0.23670563101768494,4.05621408045977,73.14415708812261,1.0835727969348659
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,COMP-Lo,90.0,0.9,1.7182130584192439,16704,0.11446697264909744,0.10895932465791702,0.211733866482973,6.908524904214559,0.1675557643175125,0.36242175102233887,21.81513409961686,0.14442546665668488,0.8453065134099617,47.575431034482754,5.16044061302682
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,S-real,93.2,0.932,1.7182130584192439,16704,0.12456182390451431,0.10783150047063828,0.2061664029955863,6.082375478927203,0.1705145388841629,0.36242175102233887,24.14990421455939,0.14620831608772278,0.8265086206896551,49.1558908045977,4.531848659003831
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,COMP-Med,100.0,1.0,1.7182130584192439,16704,0.08164303004741669,0.1425381749868393,0.2526023402810095,13.595545977011495,0.2158602923154831,0.375043660402298,45.77346743295019,0.1890169084072113,2.1737308429118776,43.63026819923372,28.735632183908045
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,EQ-Max,108.0,1.08,1.7182130584192439,16704,0.4613066613674164,0.18343816697597504,0.4221546337008476,30.124521072796934,0.3386320173740387,0.624157190322876,63.230363984674334,0.28192824125289917,4.119312739463601,91.31345785440614,0.017959770114942528
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,COMP-Hi,110.0,1.1,1.7182130584192439,16704,0.3646940588951111,0.14102788269519806,0.33838752657175053,20.779454022988507,0.2577526867389679,0.5243842601776123,57.004310344827594,0.21352116763591766,3.6095545977011496,62.48204022988506,0.8261494252873564
ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,LEGACY,120.0,1.2,1.7182130584192439,16704,0.36344730854034424,0.162858784198761,0.3391551718115806,25.059865900383144,0.27820611000061035,0.5213801860809326,63.2183908045977,0.23670563101768494,4.05621408045977,73.14415708812261,1.0835727969348659
ahmedabad_ssp245_mid_2050s_typical_2058,Ahmedabad,ssp245,mid_2050s,typical,2058,COMP-Lo,90.0,0.9,1.7182130584192439,16704,0.06011861562728882,0.09513438493013382,0.14933527559041976,0.7902298850574714,0.14574341475963593,0.2975413203239441,12.488026819923371,0.12558940052986145,0.2681992337164751,40.49329501915709,5.4238505747126435
ahmedabad_ssp245_mid_2050s_typical_2058,Ahmedabad,ssp245,mid_2050s,typical,2058,S-real,93.2,0.932,1.7182130584192439,16704,0.06984297931194305,0.09462069720029831,0.14805817753076553,0.7004310344827587,0.1488248109817505,0.2975656986236572,15.247844827586206,0.1275293529033661,0.3349497126436782,41.50502873563218,5.028735632183908
ahmedabad_ssp245_mid_2050s_typical_2058,Ahmedabad,ssp245,mid_2050s,typical,2058,COMP-Med,100.0,1.0,1.7182130584192439,16704,0.0091616315767169,0.1273971050977707,0.186135745793581,3.484195402298851,0.19204077124595642,0.37082353234291077,32.29166666666667,0.16737505793571472,0.9997605363984674,35.26700191570881,33.85416666666667
