example_kind,weather,city,scenario_raw,time_slice,severity,weather_year,month,day,hour,current_time,outdoor_temp_c,mean_operative_temp_c,mean_rh_pct,example_score,mean_p_tail_min,mean_p_tail_max,mean_p_tail_spread,mean_min_scenario,mean_max_scenario,max_zone_p_tail_min,max_zone_p_tail_max,max_zone_p_tail_spread,zone_min_scenario,zone_max_scenario
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,12,5,15,15.5,33.855000000000004,26.02977525855748,46.73890996752566,0.4958113133907318,0.10466528683900833,0.19901831448078156,0.09435302764177322,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,11,12,16,17.0,32.1,26.12020996201927,48.131303133816616,0.4958113133907318,0.10428368300199509,0.18578378856182098,0.0815001055598259,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,11,21,14,14.75,33.635,26.049270755884265,46.52226093780326,0.4958113133907318,0.1066257432103157,0.19056817889213562,0.08394243568181992,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,1,12,13,13.75,30.475,25.890749267816712,47.85681285297899,0.4958113133907318,0.1050480529665947,0.18986663222312927,0.08481857925653458,S-real,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,11,14,14,14.75,32.355,26.078474041914053,46.21115720035945,0.4958113133907318,0.11510729789733887,0.20431385934352875,0.08920656144618988,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,11,13,14,14.75,32.504999999999995,26.064975878162347,46.46000830753932,0.4958113133907318,0.1066967248916626,0.19404374063014984,0.08734701573848724,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_late_2080s_hot_2088,Ahmedabad,ssp585,late_2080s,hot,2088,2,20,14,14.25,29.402499999999996,26.057371823220837,46.33553768388687,0.4958113133907318,0.10794565826654434,0.2016230672597885,0.09367740899324417,S-real,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,2,20,14,14.5,29.875,26.09263455941325,46.09724621284302,0.4958113133907318,0.10761786252260208,0.2073068469762802,0.09968898445367813,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,12,7,15,16.0,32.86,26.071757913262548,46.443162311770855,0.4958113133907318,0.103294737637043,0.1992706060409546,0.09597586840391159,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_late_2080s_hot_2088,Ahmedabad,ssp585,late_2080s,hot,2088,2,7,14,14.5,32.04,26.072586584299803,46.56559830995705,0.4958113133907318,0.11477556079626083,0.214783176779747,0.10000761598348618,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,11,28,15,16.0,32.12,26.01829306628015,46.415117689870506,0.4958113133907318,0.11471276730298996,0.20661069452762604,0.09189792722463608,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,12,5,15,15.5,33.855000000000004,26.02977525855748,46.73890996752566,0.4958113133907318,0.10466528683900833,0.19901831448078156,0.09435302764177322,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,3,1,15,15.5,35.085,26.224562266140143,46.30095931464511,0.4958113133907318,0.11794089525938034,0.2123960256576538,0.09445513039827347,S-real,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
