city,scenario_raw,time_slice,severity,weather_year,weather,occupied_records,mean_zone_high_tail_pct,any_zone_high_tail_pct,hidden_any_zone_high_tail_pct,area_weighted_zone_time_high_tail_pct,area_weighted_mean_p_tail,mean_zone_mean_p_tail,any_zone_mean_p_tail_max,zone_time_high_tail_pct_unweighted
Beijing,ssp245,near_2030s,typical,2035,beijing_ssp245_near_2030s_typical_2035,16704,1.628352490421456,13.493773946360152,11.865421455938698,2.485004123000303,0.08878188161362308,0.0862141766429484,0.13778700745038133,2.548690932311622
Beijing,ssp245,near_2030s,hot,2034,beijing_ssp245_near_2030s_hot_2034,16704,1.5385536398467432,10.482519157088124,8.943965517241379,2.1888874901325726,0.08811071379093062,0.08507214126610697,0.13284339315394517,2.3020434227330777
Beijing,ssp245,near_2030s,heatwave_extreme,2039,beijing_ssp245_near_2030s_heatwave_extreme_2039,16704,0.19157088122605362,7.914272030651341,7.722701149425287,0.9063034684719384,0.08316115232560177,0.0808726863829322,0.12456579816311046,1.0556353767560664
Beijing,ssp245,mid_2050s,typical,2056,beijing_ssp245_mid_2050s_typical_2056,16704,3.3045977011494254,13.104645593869732,9.800047892720306,3.7566886285346865,0.09142867308884974,0.0890978594626758,0.1394535560809626,3.9926564495530013
Beijing,ssp245,mid_2050s,hot,2050,beijing_ssp245_mid_2050s_hot_2050,16704,7.770593869731801,17.43295019157088,9.66235632183908,7.6743994051255,0.10223939360916999,0.10090207338937462,0.15218852264516922,8.086286717752236
Beijing,ssp245,mid_2050s,heatwave_extreme,2050,beijing_ssp245_mid_2050s_heatwave_extreme_2050,16704,7.770593869731801,17.43295019157088,9.66235632183908,7.6743994051255,0.10223939360916999,0.10090207338937462,0.15218852264516922,8.086286717752236
Beijing,ssp245,late_2080s,typical,2083,beijing_ssp245_late_2080s_typical_2083,16704,10.739942528735632,21.04286398467433,10.302921455938698,10.279431618951609,0.10742615159575666,0.10566030971110739,0.16093958005967302,10.633780332056194
Beijing,ssp245,late_2080s,hot,2084,beijing_ssp245_late_2080s_hot_2084,16704,10.075431034482758,18.40277777777778,8.327346743295019,10.326134709075104,0.10971176593876777,0.10729017202675344,0.16074787733729576,10.497685185185185
Beijing,ssp245,late_2080s,heatwave_extreme,2084,beijing_ssp245_late_2080s_heatwave_extreme_2084,16704,10.075431034482758,18.40277777777778,8.327346743295019,10.326134709075104,0.10971176593876777,0.10729017202675344,0.16074787733729576,10.497685185185185
Beijing,ssp585,baseline_2020s,typical,2026,beijing_ssp585_baseline_2020s_typical_2026,16704,0.05387931034482758,7.327586206896551,7.273706896551724,0.9830290999413472,0.08293364147554051,0.0799822215916522,0.12539128179222736,0.8971902937420179
Beijing,ssp585,baseline_2020s,hot,2029,beijing_ssp585_baseline_2020s_hot_2029,16704,2.921455938697318,13.721264367816092,10.799808429118773,3.43141591469504,0.09172573014287447,0.08896337116186696,0.1402668359082319,3.673770753512133
Beijing,ssp585,baseline_2020s,heatwave_extreme,2029,beijing_ssp585_baseline_2020s_heatwave_extreme_2029,16704,2.921455938697318,13.721264367816092,10.799808429118773,3.43141591469504,0.09172573014287447,0.08896337116186696,0.1402668359082319,3.673770753512133
Beijing,ssp585,near_2030s,typical,2032,beijing_ssp585_near_2030s_typical_2032,16704,2.0534003831417627,12.937021072796934,10.883620689655173,2.966943263879117,0.08940771388069148,0.08648559814886642,0.1363733411196243,3.0280172413793105
Beijing,ssp585,near_2030s,hot,2037,beijing_ssp585_near_2030s_hot_2037,16704,3.5859674329501914,16.493055555555554,12.907088122605364,4.222114435027529,0.0938139827724274,0.09214890078808503,0.14750232555132564,4.451229246487867
Beijing,ssp585,near_2030s,heatwave_extreme,2030,beijing_ssp585_near_2030s_heatwave_extreme_2030,16704,3.5859674329501914,17.385057471264368,13.799090038314176,4.399953260909997,0.09485343492391489,0.09276638127260826,0.1510976421286622,4.729805236270754
Beijing,ssp585,mid_2050s,typical,2053,beijing_ssp585_mid_2050s_typical_2053,16704,1.8498563218390804,11.530172413793103,9.680316091954024,2.598844079738465,0.08889858566849423,0.08600481911900322,0.13246179596872615,2.6169380587484037
Beijing,ssp585,mid_2050s,hot,2052,beijing_ssp585_mid_2050s_hot_2052,16704,9.464798850574713,20.791427203065137,11.326628352490422,9.600698213857685,0.1076583384425934,0.10623960084836623,0.1630546651208527,9.996408045977013
