group_scope,model,event,threshold,n_steps,n_zone_steps,area_zone_time_mass,unweighted_zone_high_count,equal_zone_mean_high_count,area_weighted_mean_high_count,zone_p90_high_count,any_zone_high_count,hidden_any_zone_count,hidden_p90_count,equal_zone_mean_high_pct,area_weighted_mean_high_pct,zone_p90_high_pct,any_zone_high_pct,hidden_any_zone_pct,hidden_p90_pct,area_weighted_zone_time_high_pct,unweighted_zone_time_high_pct
global,nominal,outermost,0.05,2405376,36080640,227488.1751157623,4035902,386613,303948,634080,782815,396202,247486,16.072871767241377,12.636194923371647,26.36095146871009,32.54439222807577,16.471520460834395,10.288869598765432,9.457489187377039,11.185782735561231
global,nominal,outermost,0.075,2405376,36080640,186336.56358749862,3376304,185435,152446,534427,694710,509275,348992,7.709189748297147,6.3377201734780755,22.218023294487015,28.881555316091955,21.172365567794806,14.508833546189868,7.746670939907051,9.357661061444587
global,nominal,outermost,0.1,2405376,36080640,124011.77213032825,2328473,88335,73668,397855,567391,479056,309520,3.6723988266283523,3.062639687100894,16.540241525649215,23.588453530757768,19.916054704129415,12.867842699020859,5.155608608813268,6.453524660316447
global,nominal,outermost,0.15,2405376,36080640,17676.0154269508,411907,2880,2256,107071,206139,203259,104191,0.11973180076628352,0.09378991060025542,4.451320708280119,8.569928360472542,8.450196559706258,4.331588907513836,0.7348545685560511,1.1416288624592026
global,nominal,outermost,0.2,2405376,36080640,2405.5168550376443,57684,827,446,6303,37321,36494,5476,0.034381319178373775,0.01854179970200085,0.26203803480204346,1.5515661584716902,1.5171848392933163,0.22765671562366965,0.10000585584281395,0.1598752128565347
global,ordinal,broad_tail,0.05,2405376,36080640,2361516.85593484,35271334,2392685,2397251,2403652,2405109,12424,10967,99.47239017933163,99.66221497179652,99.92832721370796,99.98889986430396,0.5165096849723286,0.4559370343763304,98.17662003507311,97.75695220483894
global,ordinal,broad_tail,0.06,2405376,36080640,1956290.3535814562,29511302,2166441,2190050,2311984,2377098,210657,145569,90.0666257583014,91.04813550979141,96.1173637718178,98.82438338122606,8.757757622924649,6.051818925606641,81.32991904722822,81.79262341244501
global,ordinal,broad_tail,0.07,2405376,36080640,1650564.5132361464,25273181,1780360,1718754,2154925,2274612,494252,374727,74.01587111536824,71.45469149106003,89.587864849404,94.56367736270754,20.54780624733929,15.578728647828862,68.61981300371112,70.04637667181069
global,ordinal,broad_tail,0.08,2405376,36080640,907816.7483737076,14225928,1320730,1263696,1660434,1910354,589624,346442,54.90742403682418,52.53631864623244,69.03012252554278,79.42018212537249,24.512758088548317,14.402821014261388,37.74115765575559,39.42814761600681
global,ordinal,broad_tail,0.09,2405376,36080640,778775.1355949889,11996466,1025309,967310,1393718,1686900,661591,369606,42.62572670551298,40.21450284695615,57.94179371541082,70.13040788633461,27.504681180821628,15.365830539591316,32.376440755831474,33.24903881971051
