group_scope,event,threshold,aggregator,n_steps,ordinal_high_count,nominal_high_count,both_high_count,union_high_count,ordinal_only_count,nominal_only_count,disagreement_count,ordinal_high_pct,nominal_high_pct,nominal_minus_ordinal_pp,disagreement_pct,jaccard
global,broad_tail,0.31,equal_zone_mean,2405376,109583,178758,109498,178843,85,69260,69345,4.555753445615155,7.431603208812261,2.875849763197105,2.8829172653256707,0.612257678522503
global,broad_tail,0.31,zone_p90,2405376,371142,486515,359691,497966,11451,126824,138275,15.4296875,20.226151753405706,4.796464253405705,5.748581510749255,0.7223203993846969
global,broad_tail,0.32,any_zone,2405376,446173,612223,432986,625410,13187,179237,192424,18.548991924755214,25.45227856268625,6.903286637931035,7.999747232865049,0.6923234358260981
global,broad_tail,0.32,area_weighted_mean,2405376,78864,154640,78811,154693,53,75829,75882,3.278655810983397,6.428932524478502,3.1502767134951046,3.1546835089399745,0.5094671381381187
global,broad_tail,0.32,equal_zone_mean,2405376,91562,165938,91471,166029,91,74467,74558,3.8065566464452956,6.898630401234568,3.092073754789272,3.0996401394210302,0.5509338729980907
global,broad_tail,0.32,zone_p90,2405376,334335,472275,322358,484252,11977,149917,161894,13.899490142081735,19.634144516283524,5.734654374201788,6.730506997658578,0.6656823306873281
global,broad_tail,0.33,any_zone,2405376,435874,598445,421489,612830,14385,176956,191341,18.120826016389955,24.879478301936995,6.758652285547042,7.954723086951894,0.6877747499306496
global,broad_tail,0.33,area_weighted_mean,2405376,64982,143185,64936,143231,46,78249,78295,2.701531901873137,5.952707601638995,3.2511756997658576,3.2550004656236697,0.45336554237560306
global,broad_tail,0.33,equal_zone_mean,2405376,73649,153504,73594,153559,55,79910,79965,3.061849789804172,6.381704980842912,3.31985519103874,3.324428280651341,0.4792555304475804
global,broad_tail,0.33,zone_p90,2405376,325239,456341,311873,469707,13366,144468,157834,13.521337204661558,18.97171169912729,5.450374494465731,6.561718417411664,0.6639734983723896
global,broad_tail,0.34,any_zone,2405376,435830,585930,417826,603934,18004,168104,186108,18.11899678054491,24.359185424648786,6.240188644103874,7.7371687420178805,0.6918404991273881
global,broad_tail,0.34,area_weighted_mean,2405376,50693,131946,50647,131992,46,81299,81345,2.107487561196254,5.48546256385696,3.377975002660707,3.381799768518518,0.3837126492514698
global,broad_tail,0.34,equal_zone_mean,2405376,57675,141320,57617,141378,58,83703,83761,2.397754030970626,5.87517294593444,3.4774189149638146,3.482241445828012,0.4075386552363168
global,broad_tail,0.34,zone_p90,2405376,313537,440905,301907,452535,11630,138998,150628,13.034843616964666,18.329982505853554,5.295138888888888,6.262139474244359,0.6671461875877004
global,broad_tail,0.35,any_zone,2405376,435829,570663,414106,592386,21723,156557,178280,18.11895520700298,23.724482159961685,5.605526952958706,7.411731055768413,0.6990475804627388
global,broad_tail,0.35,area_weighted_mean,2405376,37407,120739,37364,120782,43,83375,83418,1.5551414830779053,5.019547879416773,3.464406396338868,3.467981720945083,0.309350731069199
global,broad_tail,0.35,equal_zone_mean,2405376,44541,129256,44469,129328,72,84787,84859,1.8517271312260535,5.3736297360578975,3.521902604831843,3.5278891948701574,0.3438466534702462
global,broad_tail,0.35,zone_p90,2405376,277088,423264,267578,432774,9510,155686,165196,11.519529587058324,17.596583652618136,6.077054065559813,6.867782833120477,0.6182857565380545
global,broad_tail,0.36,any_zone,2405376,435825,542381,405205,573001,30620,137176,167796,18.11878891283525,22.54869924702001,4.429910334184759,6.975874042145594,0.7071628147245816
global,broad_tail,0.36,area_weighted_mean,2405376,26874,109302,26826,109350,48,82476,82524,1.1172473659003832,4.544071280332056,3.4268239144316732,3.4308149744572156,0.24532235939643346
global,broad_tail,0.36,equal_zone_mean,2405376,34170,117355,34108,117417,62,83247,83309,1.4205679278416348,4.87886301351639,3.458295085674755,3.4634502048744147,0.29048604546190077
global,broad_tail,0.36,zone_p90,2405376,266641,403271,256361,413551,10280,146910,157190,11.085210794487017,16.765403828756916,5.6801930342699025,6.534945056406983,0.6199017775316709
global,broad_tail,0.37,any_zone,2405376,384913,516366,360465,540814,24448,155901,180349,16.002196745955725,21.46716355363985,5.464966807684121,7.497746714027246,0.6665230559859767
global,broad_tail,0.37,area_weighted_mean,2405376,19183,98167,19124,98226,59,79043,79102,0.7975052548957003,4.081149890911026,3.283644636015326,3.2885503139633885,0.19469386924032334
global,broad_tail,0.37,equal_zone_mean,2405376,26535,105309,26471,105373,64,78838,78902,1.1031539351851851,4.378068127394636,3.274914192209451,3.2802356055768414,0.2512123599024418
global,broad_tail,0.37,zone_p90,2405376,225445,382176,215205,392416,10240,166971,177211,9.372547161025969,15.888409961685824,6.515862800659855,7.367288939442315,0.5484103604338253
global,broad_tail,0.38,any_zone,2405376,295159,485836,284438,496557,10721,201398,212119,12.270805063324818,20.197923318433375,7.927118255108557,8.81853814123031,0.5728204415605862
global,broad_tail,0.38,area_weighted_mean,2405376,13906,87534,13866,87574,40,73668,73708,0.5781216741166454,3.63909841954023,3.0609767454235848,3.0643026287782034,0.15833466554000045
global,broad_tail,0.38,equal_zone_mean,2405376,21032,93634,20966,93700,66,72668,72734,0.8743747339293317,3.8926970253299276,3.018322291400596,3.0238099989357172,0.22375667022411952
global,broad_tail,0.38,zone_p90,2405376,167686,356446,160811,363321,6875,195635,202510,6.971300952532992,14.818722727756493,7.847421775223499,8.419057976798637,0.44261410708436894
