city,mu_bin,year_a,weather_a,month_a,day_a,time_a,expected_tsv_a,p_tail_a,d_tail_a,year_b,weather_b,month_b,day_b,time_b,expected_tsv_b,p_tail_b,d_tail_b,mu_gap,tail_gap,d_tail_gap
beijing,-0.0,2025,beijing_ssp585_cmip_direct_2025,7,12,18.0,-0.009674081924186,0.0485116000043302,-0.0145720215819954,2075,beijing_ssp585_cmip_direct_2075,1,23,12.75,-0.003754263567131,0.1269259539964449,0.0573370994679814,0.005919818357055,0.07841435399211472,0.07190912104997679
phoenix,1.3,2025,phoenix_ssp585_cmip_direct_2025,6,4,6.0,1.306696740736942,0.4053817595637818,0.3954002549742908,2075,phoenix_ssp585_cmip_direct_2075,7,30,19.5,1.3029381503917414,0.4835245412085758,0.4628825576955185,0.003758590345200652,0.07814278164479399,0.06748230272122768
phoenix,1.08,2025,phoenix_ssp585_cmip_direct_2025,5,28,6.0,1.0894883980160113,0.3289521922176489,0.3165112821493017,2075,phoenix_ssp585_cmip_direct_2075,9,24,10.5,1.089882960688576,0.4064060424401095,0.3778407736455159,0.00039456267256476885,0.07745385022246065,0.061329491496214195
phoenix,1.32,2025,phoenix_ssp585_cmip_direct_2025,9,10,6.0,1.3259236255630364,0.4161936347654191,0.4049812527633643,2075,phoenix_ssp585_cmip_direct_2075,7,31,11.0,1.3184351886859662,0.4932411809124408,0.4678561647571052,0.007488436877070237,0.0770475461470217,0.0628749119937409
phoenix,0.38,2025,phoenix_ssp585_cmip_direct_2025,9,27,6.0,0.3735440822554861,0.1151880312620442,0.0680809114529308,2075,phoenix_ssp585_cmip_direct_2075,9,26,9.0,0.3864356643454003,0.1921440542503425,0.1208591945431369,0.0128915820899142,0.0769560229882983,0.0527782830902061
phoenix,0.48,2025,phoenix_ssp585_cmip_direct_2025,11,5,6.0,0.4884032144752523,0.1422477313429812,0.1089736108663308,2075,phoenix_ssp585_cmip_direct_2075,8,2,9.5,0.4835193493453568,0.2191941466413741,0.1616747690116985,0.004883865129895526,0.07694641529839291,0.0527011581453677
phoenix,-0.0,2025,phoenix_ssp585_cmip_direct_2025,10,31,6.5,-0.0077681413172198,0.0499947174695176,-0.0181248504485725,2075,phoenix_ssp585_cmip_direct_2075,6,14,8.25,0.0085623490219851,0.1259439900949976,0.0271210602352622,0.0163304903392049,0.07594927262548,0.0452459106838347
phoenix,0.68,2025,phoenix_ssp585_cmip_direct_2025,4,30,6.0,0.6895105038162705,0.2005544569928803,0.1681319757082862,2075,phoenix_ssp585_cmip_direct_2075,9,20,11.0,0.6888187023486415,0.2752902012540561,0.2268880424805957,0.0006918014676290385,0.07473574426117582,0.05875606677230949
phoenix,-0.1,2025,phoenix_ssp585_cmip_direct_2025,10,4,7.75,-0.0928973692141315,0.0478333083595989,-0.0238575971371104,2075,phoenix_ssp585_cmip_direct_2075,10,2,7.0,-0.104276188086207,0.1224338652481897,-0.0228548409390885,0.011378818872075508,0.0746005568885908,0.0010027561980219014
phoenix,0.1,2025,phoenix_ssp585_cmip_direct_2025,4,2,19.0,0.1037509479055358,0.0598553358492126,-0.0015023197398238,2075,phoenix_ssp585_cmip_direct_2075,6,15,18.0,0.1064657962595702,0.1341100070388126,0.0461046012538118,0.002714848354034405,0.0742546711896,0.0476069209936356
phoenix,0.52,2025,phoenix_ssp585_cmip_direct_2025,5,28,13.0,0.513039469128264,0.1652159384476181,0.1276800412114205,2075,phoenix_ssp585_cmip_direct_2075,8,1,7.0,0.527525990496102,0.2393962096553184,0.1911554024022428,0.014486521367838012,0.07418027120770032,0.06347536119082231
phoenix,1.24,2025,phoenix_ssp585_cmip_direct_2025,8,6,6.0,1.2460324920777353,0.3911520810730183,0.3784113384698008,2075,phoenix_ssp585_cmip_direct_2075,7,31,10.25,1.2387858986357865,0.4652019576348838,0.4386815828387234,0.007246593441948779,0.07404987656186551,0.06027024436892259
phoenix,-0.02,2025,phoenix_ssp585_cmip_direct_2025,10,12,6.25,-0.0124720287524427,0.0483887962244884,-0.021456737690891,2075,phoenix_ssp585_cmip_direct_2075,6,15,9.0,-0.0131036886772761,0.122277019402986,0.0217882954117506,0.0006316599248334005,0.07388822317849761,0.043245033102641606
phoenix,0.02,2025,phoenix_ssp585_cmip_direct_2025,10,12,21.5,0.0104702072273842,0.0533771127071095,-0.0151683101912876,2075,phoenix_ssp585_cmip_direct_2075,6,29,9.0,0.0224651838229348,0.1268649092320337,0.0346109538952917,0.0119949765955506,0.0734877965249242,0.0497792640865793
