scope,case_label,eps,direction_threshold,tail_threshold,rows,modest_mu_directional_tail_pct,sign_conflict_pct_of_comparable,sign_comparable_rows,high_tail_rows,high_tail_ambiguous_direction_pct_of_all,high_tail_ambiguous_direction_pct_of_high_tail,warm_directional_tail_pct,cold_directional_tail_pct,mean_abs_d_tail,p95_abs_d_tail
weather_case,phoenix ssp585 cmip direct 2025,0.15,0.08,0.2,16704,0.0,0.0,3516,1796,0.0,0.0,21.048850574712645,0.0,0.05908387677705782,0.2458031052050233
weather_case,phoenix ssp585 cmip direct 2025,0.15,0.1,0.2,16704,0.0,0.0,2914,1796,0.0,0.0,17.44492337164751,0.0,0.05908387677705782,0.2458031052050233
weather_case,phoenix ssp585 cmip direct 2025,0.25,0.04,0.2,16704,10.75191570881226,0.0,4596,1796,0.0,0.0,38.230363984674334,0.035919540229885055,0.05908387677705782,0.2458031052050233
weather_case,phoenix ssp585 cmip direct 2025,0.25,0.06,0.2,16704,2.137212643678161,0.0,4280,1796,0.0,0.0,27.759818007662833,0.0,0.05908387677705782,0.2458031052050233
weather_case,phoenix ssp585 cmip direct 2025,0.25,0.08,0.2,16704,0.11374521072796935,0.0,3497,1796,0.0,0.0,21.048850574712645,0.0,0.05908387677705782,0.2458031052050233
weather_case,phoenix ssp585 cmip direct 2025,0.25,0.1,0.2,16704,0.023946360153256702,0.0,2910,1796,0.0,0.0,17.44492337164751,0.0,0.05908387677705782,0.2458031052050233
weather_case,phoenix ssp585 cmip direct 2025,0.35,0.04,0.2,16704,19.767720306513407,0.0,3090,1796,0.0,0.0,38.230363984674334,0.035919540229885055,0.05908387677705782,0.2458031052050233
weather_case,phoenix ssp585 cmip direct 2025,0.35,0.06,0.2,16704,9.26125478927203,0.0,3090,1796,0.0,0.0,27.759818007662833,0.0,0.05908387677705782,0.2458031052050233
weather_case,phoenix ssp585 cmip direct 2025,0.35,0.08,0.2,16704,2.855603448275862,0.0,3039,1796,0.0,0.0,21.048850574712645,0.0,0.05908387677705782,0.2458031052050233
weather_case,phoenix ssp585 cmip direct 2025,0.35,0.1,0.2,16704,0.5028735632183908,0.0,2830,1796,0.0,0.0,17.44492337164751,0.0,0.05908387677705782,0.2458031052050233
weather_case,phoenix ssp585 cmip direct 2050,0.15,0.04,0.2,16704,0.7423371647509579,0.0,6212,2488,0.0,0.0,37.91307471264368,0.017959770114942528,0.0704650394251049,0.3254106928643749
weather_case,phoenix ssp585 cmip direct 2050,0.15,0.06,0.2,16704,0.0,0.0,4709,2488,0.0,0.0,28.19085249042146,0.0,0.0704650394251049,0.3254106928643749
weather_case,phoenix ssp585 cmip direct 2050,0.15,0.08,0.2,16704,0.0,0.0,3708,2488,0.0,0.0,22.198275862068968,0.0,0.0704650394251049,0.3254106928643749
