weather,city,scenario_raw,time_slice,severity,weather_year,month,day,current_time,outdoor_temp_c,mean_operative_temp_c,expected_tsv,p_tail,d_tail,warm_discomfort_probability,cold_discomfort_probability,pair_id,member,pair_tail_gap
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,8,1,10.5,28.475,29.145710496693265,0.9414670000543118,0.2405928470158723,0.2280093745788446,0.2343011107973584,0.0062917362185138,39,low_tail,0.13347148821118288
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,24,6.25,33.7125,27.26809506864857,0.9370968082152256,0.3740643352270552,0.3402454349200188,0.357154885073537,0.0169094501535182,39,high_tail,0.13347148821118288
beijing_ssp585_mid_2050s_heatwave_extreme_2052,Beijing,ssp585,mid_2050s,heatwave_extreme,2052,6,21,16.25,44.6675,31.967542331515833,1.5917909906959562,0.4591986438163181,0.4556375795917222,0.4574181117040201,0.0017805321122979,40,low_tail,0.13245506134831336
beijing_ssp245_late_2080s_heatwave_extreme_2084,Beijing,ssp245,late_2080s,heatwave_extreme,2084,8,23,6.0,32.38,28.82542961965171,1.6028972900038525,0.5916537051646314,0.5783030641169858,0.5849783846408086,0.0066753205238228,40,high_tail,0.13245506134831336
houston_ssp585_near_2030s_hot_2035,Houston,ssp585,near_2030s,hot,2035,1,3,13.75,24.3725,24.659006506100138,0.1763181699852203,0.0487528579791392,0.009336347581657998,0.0290446027803986,0.0197082551987406,41,low_tail,0.1321207623176908
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,10,2,14.0,33.67,26.379380069062268,0.1710374529502066,0.18087362029683,0.060421213083089495,0.1206474166899597,0.0602262036068702,41,high_tail,0.1321207623176908
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,Beijing,ssp245,baseline_2020s,heatwave_extreme,2025,9,17,6.0,14.71,25.45190389159219,0.4511558572509054,0.1120585184651255,0.0663132776743776,0.0891858980697515,0.0228726203953739,42,low_tail,0.13205254820876927
phoenix_ssp585_late_2080s_heatwave_extreme_2085,Phoenix,ssp585,late_2080s,heatwave_extreme,2085,6,27,20.0,43.18,26.66972783891562,0.4565240207798876,0.2441110666738948,0.18077928898206308,0.2124451778279789,0.0316658888459158,42,high_tail,0.13205254820876927
phoenix_ssp585_near_2030s_typical_2034,Phoenix,ssp585,near_2030s,typical,2034,4,4,21.25,23.235,24.899977223441216,0.2902468600865461,0.0747191768463506,0.046535809466383096,0.0606274931563668,0.0140916836899837,43,low_tail,0.1316266092765601
phoenix_ssp585_late_2080s_heatwave_extreme_2085,Phoenix,ssp585,late_2080s,heatwave_extreme,2085,6,29,20.25,44.9725,26.47230286058381,0.3097051036982232,0.2063457861229107,0.1202206642026869,0.1632832251627988,0.0430625609601119,43,high_tail,0.1316266092765601
houston_ssp585_near_2030s_hot_2035,Houston,ssp585,near_2030s,hot,2035,1,3,12.0,22.82,24.42689341020326,0.1438558347567937,0.0450368689806523,0.004448146656748801,0.0247425078187005,0.0202943611619517,44,low_tail,0.1315131778499659
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,10,2,12.5,31.9,26.24352685877259,0.1346087675478654,0.1765500468306182,0.0494612706094225,0.1130056587200203,0.0635443881105978,44,high_tail,0.1315131778499659
houston_ssp585_near_2030s_typical_2038,Houston,ssp585,near_2030s,typical,2038,12,20,16.75,17.557499999999997,24.379414090565252,0.1055278854069659,0.0429784686918992,0.004254633181380998,0.0236165509366401,0.0193619177552591,45,low_tail,0.1313601495663573
beijing_ssp585_baseline_2020s_typical_2026,Beijing,ssp585,baseline_2020s,typical,2026,1,1,13.5,-3.13,21.887011095877934,0.099798570110498,0.1743386182582565,0.1010436894148116,0.137691153836534,0.0366474644217224,45,high_tail,0.1313601495663573
