scope,rows,weather_cases,mean_mu,mean_abs_mu,mean_p_tail,p95_p_tail,high_tail_pct,near_mean_pct,near_mean_high_tail_pct,near_mean_directional_tail_pct,warm_tail_dominant_pct,cold_tail_dominant_pct,sign_conflict_pct_of_comparable,sign_comparable_rows,city,scenario_raw,time_slice,severity
city_time_slice,100224,6,0.2093430297561654,0.23071923702210556,0.096692672679851,0.2411514823976107,8.724457215836527,50.081816730523634,0.0,0.0,16.418223180076627,0.0,0.0,16455,Houston,,baseline_2020s,
city_time_slice,100224,6,0.2944673902825022,0.30792014372286697,0.12038913683778445,0.32378503790192753,18.749002234993615,43.96252394636016,0.0,0.0,25.28336526181354,0.0,0.0,25340,Houston,,late_2080s,
city_time_slice,100224,6,0.2386682226302628,0.2554372137583739,0.1040227425610732,0.27909113317994655,12.11286717752235,47.696160600255425,0.0,0.0,19.182032247765008,0.0,0.0,19225,Houston,,mid_2050s,
city_time_slice,100224,6,0.22400546342348426,0.24143257529328352,0.09955829758308507,0.2508001393608982,9.744173052362708,47.602370689655174,0.0,0.0,17.500798212005108,0.0,0.0,17540,Houston,,near_2030s,
city_time_slice,100224,6,0.2623255409106396,0.26586593085575083,0.10755689190110707,0.27645554413267215,11.22485632183908,42.52973339719029,0.0,0.0,19.054318326947637,0.0,0.0,19097,Kolkata,,baseline_2020s,
city_time_slice,100224,6,0.44244497552999984,0.44386063678457294,0.15786106560367863,0.3537726787429992,30.384937739463602,28.061143039591315,0.0,0.0,40.30870849297574,0.0,0.0,40399,Kolkata,,late_2080s,
city_time_slice,100224,6,0.3858706251572505,0.38754323825243364,0.14269331623306555,0.342034817020166,25.71539750957854,32.22481641123883,0.0,0.0,33.70250638569604,0.0,0.0,33778,Kolkata,,mid_2050s,
city_time_slice,100224,6,0.2591640550260943,0.26338209057674744,0.10733410391588008,0.28559814916878806,12.288473818646233,44.53125,0.0,0.0,19.38557630906769,0.0,0.0,19429,Kolkata,,near_2030s,
city_time_slice,100224,6,0.256562487272009,0.2641971113846476,0.11502579037068933,0.2478609926787201,8.036997126436782,28.551045657726693,0.0,0.0,16.423212005108557,0.0,0.0,16460,Phoenix,,baseline_2020s,
city_time_slice,100224,6,0.36379111360067556,0.3705972919344625,0.1521730385712865,0.4116424888894551,20.86426404853129,23.648028416347383,0.0,0.0,27.78975095785441,0.0,0.0,27852,Phoenix,,late_2080s,
city_time_slice,100224,6,0.2986677022943624,0.307116414644951,0.12955942025211778,0.3247994286621208,13.656409642401021,25.079821200510853,0.0,0.0,21.33720466155811,0.0,0.0,21385,Phoenix,,mid_2050s,
city_time_slice,100224,6,0.2796270273783545,0.28907706030464636,0.12391561934654564,0.2850255126362027,10.868654214559387,27.349736590038315,0.0,0.0,20.346424010217113,0.0,0.0,20392,Phoenix,,near_2030s,
city_scenario_time_slice,50112,3,0.3324048314363857,0.3337247269776142,0.12795759591970612,0.28604429806321846,15.942289272030653,28.55403895274585,0.0,0.0,28.84139527458493,0.0,0.0,14453,Ahmedabad,ssp245,baseline_2020s,
city_scenario_time_slice,50112,3,0.3512813477471634,0.35429589315772814,0.1360738895755736,0.31610581875398497,18.51851851851852,29.292385057471265,0.0,0.0,32.35153256704981,0.0,0.0,16212,Ahmedabad,ssp245,late_2080s,
city_scenario_time_slice,50112,3,0.33652108869907954,0.3381899049034655,0.13077085174089734,0.3282123333087793,16.68662196679438,31.890565134099617,0.0,0.0,27.35472541507024,0.0,0.0,13708,Ahmedabad,ssp245,mid_2050s,
city_scenario_time_slice,50112,3,0.286864112183809,0.2888855167109532,0.11597602485656748,0.2668671659178783,11.486270753512134,34.4169061302682,0.0,0.0,21.627554278416348,0.0,0.0,10838,Ahmedabad,ssp245,near_2030s,
city_scenario_time_slice,50112,3,0.37095905566798915,0.3741253955166831,0.13929304067249584,0.3255469943373951,20.70362388250319,27.72389846743295,0.0,0.0,31.68103448275862,0.0,0.0,15876,Ahmedabad,ssp585,baseline_2020s,
city_scenario_time_slice,50112,3,0.4104532511829342,0.41376820772765355,0.15712065818034274,0.3797640037381814,26.169380587484035,30.812978927203066,0.0,0.0,36.83548850574713,0.0,0.0,18459,Ahmedabad,ssp585,late_2080s,
city_scenario_time_slice,50112,3,0.316840197948449,0.3193399217145332,0.12574723442399224,0.30369057399167565,14.579342273307791,32.72669220945083,0.0,0.0,26.688218390804597,0.0,0.0,13374,Ahmedabad,ssp585,mid_2050s,
city_scenario_time_slice,50112,3,0.30446601877220947,0.3063209887660058,0.12040120232368956,0.28575646810766503,12.77139208173691,33.323355683269476,0.0,0.0,23.501356960408685,0.0,0.0,11777,Ahmedabad,ssp585,near_2030s,
