case,err,severe_lines,fatal_lines,warmup_convergence_lines,summary_warnings,summary_severe,completed_successfully,summary
ahmedabad_ssp245_near_2030s_typical_2032,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp245_near_2030s_typical_2032/diagnostic_reference/eplusout.err,0,0,0,20474,0,True,************* EnergyPlus Completed Successfully-- 20474 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 56.51sec
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027/diagnostic_reference/eplusout.err,0,0,0,20785,0,True,************* EnergyPlus Completed Successfully-- 20785 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 55.38sec
ahmedabad_ssp585_baseline_2020s_hot_2027,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp585_baseline_2020s_hot_2027/diagnostic_reference/eplusout.err,0,0,0,20785,0,True,************* EnergyPlus Completed Successfully-- 20785 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 55.47sec
ahmedabad_ssp585_baseline_2020s_typical_2025,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp585_baseline_2020s_typical_2025/diagnostic_reference/eplusout.err,0,0,0,20264,0,True,************* EnergyPlus Completed Successfully-- 20264 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 55.84sec
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp585_late_2080s_heatwave_extreme_2088/diagnostic_reference/eplusout.err,0,0,0,20617,0,True,************* EnergyPlus Completed Successfully-- 20617 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 55.63sec
ahmedabad_ssp585_late_2080s_hot_2088,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp585_late_2080s_hot_2088/diagnostic_reference/eplusout.err,0,0,0,20617,0,True,************* EnergyPlus Completed Successfully-- 20617 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 55.63sec
ahmedabad_ssp585_late_2080s_typical_2087,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp585_late_2080s_typical_2087/diagnostic_reference/eplusout.err,0,0,0,20219,0,True,************* EnergyPlus Completed Successfully-- 20219 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 55.79sec
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051/diagnostic_reference/eplusout.err,0,0,0,20635,0,True,************* EnergyPlus Completed Successfully-- 20635 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 55.51sec
ahmedabad_ssp585_mid_2050s_hot_2050,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp585_mid_2050s_hot_2050/diagnostic_reference/eplusout.err,0,0,0,20462,0,True,************* EnergyPlus Completed Successfully-- 20462 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 56.28sec
ahmedabad_ssp585_mid_2050s_typical_2055,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp585_mid_2050s_typical_2055/diagnostic_reference/eplusout.err,0,0,0,20420,0,True,************* EnergyPlus Completed Successfully-- 20420 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 55.96sec
ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp585_near_2030s_heatwave_extreme_2037/diagnostic_reference/eplusout.err,1,0,1,28293,1,True,************* EnergyPlus Completed Successfully-- 28293 Warning; 1 Severe Errors; Elapsed Time=00hr 00min 56.14sec
ahmedabad_ssp585_near_2030s_hot_2037,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp585_near_2030s_hot_2037/diagnostic_reference/eplusout.err,1,0,1,28293,1,True,************* EnergyPlus Completed Successfully-- 28293 Warning; 1 Severe Errors; Elapsed Time=00hr 00min 56.11sec
ahmedabad_ssp585_near_2030s_typical_2031,diagnostic_reference_zone_raw_full/energyplus/ahmedabad_ssp585_near_2030s_typical_2031/diagnostic_reference/eplusout.err,1,0,1,28247,1,True,************* EnergyPlus Completed Successfully-- 28247 Warning; 1 Severe Errors; Elapsed Time=00hr 00min 56.11sec
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,diagnostic_reference_zone_raw_full/energyplus/beijing_ssp245_baseline_2020s_heatwave_extreme_2025/diagnostic_reference/eplusout.err,0,0,0,19813,0,True,************* EnergyPlus Completed Successfully-- 19813 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 55.24sec
beijing_ssp245_baseline_2020s_hot_2025,diagnostic_reference_zone_raw_full/energyplus/beijing_ssp245_baseline_2020s_hot_2025/diagnostic_reference/eplusout.err,0,0,0,19813,0,True,************* EnergyPlus Completed Successfully-- 19813 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 57.50sec
beijing_ssp245_baseline_2020s_typical_2026,diagnostic_reference_zone_raw_full/energyplus/beijing_ssp245_baseline_2020s_typical_2026/diagnostic_reference/eplusout.err,0,0,0,20946,0,True,************* EnergyPlus Completed Successfully-- 20946 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 56.68sec
